Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128890,543249,-1044608,-107467,-575029,1941933,-2807421,-2295570,-5145636,-5383370,-3261877,-6215189,-3803314,-3987435,-1730000,-3953697,-5172355
128891,545973,-1049346,-105339,-573377,1943451,-2912925,-2294067,-5141217,-5384447,-3260911,-6212772,-3807551,-3988984,-1726969,-3952849,-5358531
128892,545980,-1048159,-103457,-570884,1949017,-2511053,-2288794,-5144990,-5391019,-3261660,-6218843,-3808318,-3989520,-1732297,-3952939,-5087383
128893,543620,-1043612,-105322,-572279,1948356,-2367649,-2289541,-5149593,-5390834,-3262892,-6222088,-3804346,-3988480,-1736032,-3954159,-4880088
128894,542946,-1044393,-107521,-574884,1942581,-2737712,-2295126,-5146972,-5384634,-3262529,-6216919,-3803034,-3987878,-1731512,-3954524,-5112023
128895,545407,-1049599,-106146,-574166,1942469,-2943916,-2295193,-5141871,-5384274,-3261640,-6213276,-3807229,-3989531,-1727405,-3953935,-5363022
128896,546037,-1049600,-103809,-571364,1948136,-2580869,-2289838,-5144410,-5390933,-3262191,-6218581,-3809102,-3990512,-1731879,-3953882,-5147161
128897,543780,-1045007,-105273,-572246,1948721,-2347533,-2289392,-5149790,-5392261,-3263515,-6223112,-3805486,-3989692,-1736741,-3955043,-4882901
128898,542740,-1044392,-107617,-574888,1943191,-2660873,-2294718,-5148270,-5386294,-3263386,-6218952,-3803188,-3988826,-1733297,-3955616,-5050734
128899,545214,-1049251,-106651,-574650,1941884,-2951968,-2295933,-5142561,-5384186,-3262284,-6214030,-3806677,-3990108,-1728118,-3954994,-5347929
128900,546404,-1050362,-103986,-571687,1947328,-2653282,-2290741,-5143764,-5390458,-3262502,-6218154,-3809444,-3991376,-1731320,-3954669,-5202693
128901,544400,-1046011,-104919,-571934,1949173,-2346229,-2289026,-5149459,-5393256,-3263832,-6223685,-3806407,-3990735,-1736949,-3955650,-4900152
128902,542866,-1044336,-107544,-574698,1944030,-2585964,-2294019,-5149335,-5387986,-3264042,-6220861,-3803374,-3989694,-1734919,-3956452,-4995829
128903,544994,-1048767,-107321,-575241,1941334,-2942140,-2296503,-5143539,-5384470,-3262968,-6215142,-3806152,-3990686,-1729141,-3955996,-5319903
128904,546863,-1050906,-104410,-572241,1946315,-2727372,-2291706,-5143112,-5389777,-3262701,-6217654,-3809511,-3992024,-1730746,-3955370,-5254656
128905,545391,-1046786,-104433,-571526,1949636,-2362885,-2288575,-5148678,-5393744,-3263844,-6223729,-3807057,-3991452,-1736678,-3956046,-4930466
128906,543516,-1044032,-107036,-574094,1945278,-2516079,-2292780,-5149835,-5389231,-3264220,-6222196,-3803302,-3990129,-1735923,-3956851,-4948783
128907,545057,-1047812,-107448,-575239,1941408,-2914092,-2296382,-5144291,-5384558,-3263246,-6216020,-3805199,-3990756,-1729910,-3956507,-5280008
128908,547293,-1050994,-104614,-572521,1945460,-2796489,-2292426,-5142445,-5388698,-3262691,-6216921,-3809106,-3992240,-1729959,-3955687,-5299234
128909,546260,-1047527,-103966,-571111,1949778,-2394364,-2288322,-5147724,-5393936,-3263884,-6223507,-3807761,-3992127,-1736199,-3956299,-4971546
128910,544048,-1043906,-106486,-573431,1946451,-2453657,-2291584,-5150162,-5390697,-3264607,-6223559,-3803721,-3990807,-1736979,-3957304,-4911969
128911,544680,-1046959,-107699,-575269,1941516,-2868279,-2296252,-5145412,-5385292,-3263916,-6217436,-3804717,-3991135,-1731204,-3957348,-5229236
128912,546943,-1051205,-105381,-573255,1944132,-2857605,-2293660,-5142491,-5388377,-3263504,-6217060,-3809276,-3993101,-1730051,-3956859,-5332344
128913,546268,-1048802,-104211,-571374,1949026,-2442073,-2288969,-5147351,-5394524,-3264609,-6223704,-3809011,-3993403,-1736125,-3957302,-5021500
128914,543932,-1044567,-106527,-573340,1946854,-2402645,-2291136,-5150995,-5392697,-3265603,-6225366,-3804891,-3992227,-1738451,-3958468,-4886700
128915,544247,-1046286,-108038,-575355,1941513,-2807997,-2296216,-5146941,-5386616,-3264949,-6219403,-3804621,-3991987,-1733045,-3958564,-5170746
128916,546823,-1051009,-106021,-573791,1942932,-2906756,-2294824,-5142782,-5387961,-3264154,-6217224,-3809057,-3993754,-1730290,-3957900,-5351942
128917,546453,-1050009,-104512,-571576,1948089,-2504623,-2289986,-5147021,-5394889,-3265323,-6223679,-3810143,-3994676,-1736269,-3958399,-5078814
128918,543629,-1046048,-106996,-573493,1946696,-2368932,-2291476,-5152153,-5395070,-3267066,-6227287,-3806619,-3994142,-1740966,-3960115,-4876906
128919,543056,-1047022,-109308,-576136,1940723,-2740218,-2297189,-5149537,-5389154,-3266996,-6222337,-3805636,-3993893,-1737188,-3960809,-5111281
128920,545548,-1052267,-108066,-575397,1940551,-2940059,-2297314,-5144679,-5389066,-3266330,-6218960,-3810074,-3995750,-1733669,-3960441,-5357837
128921,545993,-1052414,-106061,-572731,1945889,-2575945,-2292202,-5147613,-5396046,-3267223,-6224583,-3812159,-3996973,-1738885,-3960732,-5139109
128922,543596,-1048170,-107859,-573806,1946017,-2352139,-2292103,-5153179,-5397721,-3269014,-6229392,-3808941,-3996508,-1744597,-3962311,-4881918
128923,542427,-1047988,-110457,-576560,1940108,-2669731,-2297742,-5151858,-5392041,-3269186,-6225425,-3807011,-3995934,-1741807,-3963156,-5054798
128924,544850,-1053055,-109597,-576290,1938646,-2954847,-2299022,-5146341,-5390218,-3268306,-6220731,-3810734,-3997406,-1737067,-3962729,-5348666
128925,545961,-1054366,-107169,-573405,1943868,-2651818,-2294012,-5147826,-5396814,-3268900,-6225180,-3813671,-3998886,-1740928,-3962781,-5198596
128926,543743,-1050361,-108393,-573816,1945308,-2352344,-2292711,-5153838,-5400001,-3270745,-6231088,-3811018,-3998653,-1747472,-3964326,-4900982
128927,542073,-1049099,-111174,-576626,1939799,-2597799,-2298012,-5153909,-5395062,-3271352,-6228544,-3808446,-3998008,-1746178,-3965567,-5002565
128928,544108,-1053837,-110964,-577058,1936948,-2950632,-2300652,-5148273,-5391920,-3270601,-6223105,-3811549,-3999222,-1740842,-3965376,-5325914
128929,545825,-1056184,-108220,-574038,1941718,-2730249,-2296100,-5148237,-5397643,-3270737,-6226028,-3815196,-4000858,-1743046,-3965147,-5255866
